stkcd,date,lh_rtnDiff,lh_volDiff,lh_stdDiff
000009.XSHE,2023-03-28,0.15671834781129312,0.7644550735298195,0.26140815096101183
000009.XSHE,2023-03-29,-0.5071346273154663,0.5177181929234149,0.16764781068278817
000009.XSHE,2023-03-30,0.7491063981565862,0.47749279285227,0.3697631873485886
000009.XSHE,2023-03-31,-1.000000000000142,0.5836670186603922,0.33333333333334125
000009.XSHE,2023-04-03,-0.4939197930142479,0.7171008393978567,0.4939197930142361
000009.XSHE,2023-04-04,-0.0,0.36111873792959026,0.23203460773622417
000009.XSHE,2023-04-06,0.29677060518333326,0.6004357990129585,0.3813464519531431
000009.XSHE,2023-04-07,-0.39511899610558765,0.8911476011375103,0.24694937256598581
000009.XSHE,2023-04-10,0.0,0.45264823325548104,0.28418243157209433
000009.XSHE,2023-04-11,-0.0,0.5627308386062359,0.16574585635358938
000009.XSHE,2023-04-12,0.39181538167339547,0.7310664065504534,0.5489721006962321
000009.XSHE,2023-04-13,0.33659525698668785,0.5430279836103871,0.30293573128803053
000009.XSHE,2023-04-14,-0.17242898106971732,0.32803436157750876,0.12255282952062536
000009.XSHE,2023-04-17,0.11711837288792906,0.17197432073026295,0.1254839709513535
000009.XSHE,2023-04-18,0.1633339471745702,0.37333645716669217,0.173174377035924
000009.XSHE,2023-04-19,0.08173068318639573,0.3233503735745183,0.1358569634422826
000009.XSHE,2023-04-20,-0.03722995660299451,0.210533998230043,0.12982754097455454
000009.XSHE,2023-04-21,2.020125101985314,0.6664137507729034,0.35440791262900884
000009.XSHE,2023-04-24,-0.10149920849241083,0.437336147504282,0.16387893037836643
000009.XSHE,2023-04-25,-0.12244371538889516,0.24929622264409904,0.228017110232133
000009.XSHE,2023-04-26,0.04885806889978837,0.44184412452791016,0.18299015867437488
000009.XSHE,2023-04-27,-0.5047740593684648,0.6891004838070245,0.36515570252188845
000009.XSHE,2023-04-28,0.19776098516652954,0.7802490427854413,0.30708227510330244
000009.XSHE,2023-05-04,-0.2204005421617654,0.5454669089368722,0.08287788982115984
000009.XSHE,2023-05-05,-0.059319084298815127,0.3856338520548215,0.08082520649479943
000009.XSHE,2023-05-08,0.5827306273062676,1.5145203121547282,0.722393339635864
000009.XSHE,2023-05-09,0.08522281807633911,0.5603938613930709,0.3801562356075175
000009.XSHE,2023-05-10,0.17508814929480612,0.9329259816810058,0.2845328899194512
000009.XSHE,2023-05-11,0.9990843329365442,0.4883385615578214,0.3066496467428907
000009.XSHE,2023-05-12,0.0,0.6482887401981102,0.2084687690913627
000009.XSHE,2023-05-15,0.0876176284646742,0.3104178706854963,0.09190853917937163
000009.XSHE,2023-05-16,0.0,0.43547195342336487,0.2332983685331301
000009.XSHE,2023-05-17,-0.0,0.4982421819932637,0.13327424680865232
000009.XSHE,2023-05-18,0.5058503444570625,0.3264233958157318,0.24213689474011016
000009.XSHE,2023-05-19,-0.4834382829337408,1.0555870400378193,0.16426217900788123
000009.XSHE,2023-05-22,-0.13362943859397655,1.3012825491978928,0.17077661536314825
000009.XSHE,2023-05-23,-0.8161567034004364,1.0799046639275651,0.5880041643738962
000009.XSHE,2023-05-24,7.055757416183293,0.9251083274911099,0.7317750969409702
000009.XSHE,2023-05-25,-0.5017725782150316,0.8179048226599125,0.3064260019633601
000009.XSHE,2023-05-26,0.12182639172320077,1.194248437887134,0.4077660218834043
000009.XSHE,2023-05-29,-0.1353773370331625,0.5465261072775809,0.14081667441826076
000009.XSHE,2023-05-30,0.018095762789024267,0.27918692793947186,0.08440191816641421
000009.XSHE,2023-05-31,0.3345617412344174,0.43801736815265474,0.4154304662111598
000009.XSHE,2023-06-01,-0.09228082179448727,0.23824743082048003,0.11728822006702844
000009.XSHE,2023-06-02,-0.04676684947168803,0.40264753550258975,0.14565026182325375
000009.XSHE,2023-06-05,-0.788888888888877,0.2909522308507895,0.18706697459584357
000009.XSHE,2023-06-06,0.11270681111950241,0.6666952458524457,0.26415658856135027
000009.XSHE,2023-06-07,-0.33675547259457184,0.9220219408580913,0.286600402208168
000009.XSHE,2023-06-08,0.24390243902440462,0.5394684859171894,0.4958677685950391
