stkcd,day,lh_rtnDiff,lh_volDiff,lh_stdDiff
000002.XSHE,2024-08-09,-0.0505810271944688,0.1652588071435447,0.09410943940464743
000002.XSHE,2024-08-12,0.025168535603663972,0.30575482191953324,0.1247972296999098
000002.XSHE,2024-08-13,0.014667296730762537,0.3251286620538594,0.7070468735762058
000002.XSHE,2024-08-14,0.004374073053695978,0.4934936165330973,0.33453004331618935
000002.XSHE,2024-08-15,-7.952207919282011e-05,0.7262590724190828,0.4472284362081406
000002.XSHE,2024-08-16,0.0,0.46046873162893387,0.18388746017756985
000002.XSHE,2024-08-19,-0.007386561200820841,0.5004109392015451,0.22171295325181042
000002.XSHE,2024-08-20,0.004397224279110068,0.5652490404552875,0.2543056751847469
000002.XSHE,2024-08-21,0.0044760422497450965,0.9782822970073967,0.40633523298741936
000002.XSHE,2024-08-22,0.00607451403887689,0.40206943098812337,0.18500782722466785
000004.XSHE,2022-12-01,-0.017619100706863573,0.16973963618997262,0.32672367608567837
000004.XSHE,2022-12-02,-0.005031978842405225,0.4220628401343169,0.44214093930190235
000004.XSHE,2022-12-05,-0.028723404255319104,0.11224009551505304,0.0002465573770491794
000004.XSHE,2022-12-06,0.02632643040271341,0.17393133498610172,0.5974163074046205
000004.XSHE,2022-12-07,0.01036246695021744,0.5863042812284598,0.15897804926281456
000004.XSHE,2022-12-08,0.01650333755961409,0.3469430230304944,0.22956848116422382
000004.XSHE,2022-12-09,0.010958171856207503,0.4301303611322515,0.5317460317460196
000004.XSHE,2022-12-12,0.010848743873056638,0.38899012373022984,0.2247128618077994
000004.XSHE,2022-12-13,-0.007282506020719063,0.41204529967225884,0.2688643468930919
000004.XSHE,2022-12-14,0.011135789827238226,0.24762310728913764,0.21592856534819038
000004.XSHE,2022-12-15,-0.012735650746097355,5.009531317185036,1.5548465223797525
000004.XSHE,2022-12-16,0.018903777752444666,0.8045916962590101,0.2682961403219009
000004.XSHE,2022-12-19,0.03627804325139428,0.1611172833271611,0.26101083032490974
000004.XSHE,2022-12-20,-0.019156013861585573,0.4117534867087853,0.597010242529168
000004.XSHE,2022-12-21,-0.0031489686359630785,0.18531936238992308,0.3349845281072788
000004.XSHE,2022-12-22,-0.006504685387853792,0.41717907227615963,0.16683550410034562
000004.XSHE,2022-12-23,0.0033354057061654543,0.7781608603921165,0.5499717623804394
000004.XSHE,2022-12-26,-0.0031135012737050507,0.760463140004249,1.3123879611283877
000004.XSHE,2022-12-27,0.03594523569255232,1.1137363087596623,0.34549305555555465
000004.XSHE,2022-12-28,-0.004199028911943576,0.33764285714285713,0.4103080427761238
000004.XSHE,2022-12-29,-0.0022415425100618825,0.3127000340483487,0.2807627544136984
000004.XSHE,2022-12-30,0.01050128987207884,1.3272852866682017,1.6148157110663754
000004.XSHE,2023-01-03,-0.018365945107860965,0.5803760441325228,0.2719563607007286
000004.XSHE,2023-01-04,-0.009108499438652154,0.2767485242634094,0.19134628376622492
000004.XSHE,2023-01-05,-0.000959135681794324,0.7929132385938669,0.3303688388916733
000004.XSHE,2023-01-06,0.010992245669316367,0.6351301484572369,0.2899416519458254
000004.XSHE,2023-01-09,-0.0051460276211952325,0.6303929786499679,0.15320614278991318
000004.XSHE,2023-01-10,0.003989027339453945,0.766314427431529,0.4533300518091434
